Ex_date,Ticker,Company,Payment_per_year,Dividend,Yield,Announced,Record,Payable
5/25/2023,SBAC,SBA Comms,4,0.85,0.013032312,5/1/2023,5/26/2023,6/21/2023
5/25/2023,BMI,Badger Meter,4,0.225,0.006775578,4/28/2023,5/26/2023,6/9/2023
5/25/2023,J,Jacobs Solutions,4,0.26,0.009231315,4/27/2023,5/26/2023,6/23/2023
5/25/2023,STRA,Strategic Education,4,0.6,0.025974026,4/27/2023,5/26/2023,6/5/2023
5/25/2023,RS,Reliance Steel & Aluminum,4,1,0.016005762,4/25/2023,5/26/2023,6/9/2023
5/25/2023,EVR,Evercore,4,0.76,0.02487725,4/25/2023,5/26/2023,6/9/2023
5/25/2023,SMG,Scotts Miracle Gro,4,0.66,0.03728287,4/24/2023,5/26/2023,6/9/2023
5/25/2023,FTV,Fortive,4,0.07,0.004326997,4/6/2023,5/26/2023,6/30/2023
5/24/2023,CHE,Chemed,4,0.38,0.002777981,5/15/2023,5/25/2023,6/14/2023
5/24/2023,TPG,TPG,4,0.2,0.029422582,5/15/2023,5/25/2023,6/5/2023
5/24/2023,BRN,Barnwell Industries,4,0.015,0.023076923,5/15/2023,5/25/2023,6/12/2023
5/24/2023,JBT,John Bean Techs,4,0.1,0.003855793,5/12/2023,5/25/2023,6/8/2023
5/24/2023,HEES,H&E Equipment Servs,4,0.275,0.031205674,5/12/2023,5/25/2023,6/9/2023
5/24/2023,VAC,Marriott Vacations,4,0.72,0.023036314,5/11/2023,5/25/2023,6/8/2023
5/24/2023,VINP,Vinci Partners Inv,4,0.16,0.078144078,5/11/2023,5/25/2023,6/9/2023
5/24/2023,ALV,Autoliv,4,0.66,0.03022324,5/10/2023,5/25/2023,6/13/2023
5/24/2023,CSPI,CSP,4,0.04,0.012872084,5/10/2023,5/25/2023,6/13/2023
5/24/2023,PMD,Psychemedics,4,0.07,0.052141527,5/9/2023,5/25/2023,6/8/2023
5/24/2023,IGT,Intl Game Tech,4,0.2,0.02919708,5/9/2023,5/25/2023,6/8/2023
5/24/2023,B,Barnes Gr,4,0.16,0.015621186,5/5/2023,5/25/2023,6/9/2023
5/24/2023,EFX,Equifax,4,0.39,0.0078,5/4/2023,5/25/2023,6/15/2023
5/24/2023,SPOK,Spok Holdings,4,0.3125,0.09827044,5/3/2023,5/25/2023,6/23/2023
